"aX","aY","aZ","gX","gY","gZ"
0.419,-0.615,1.086,-24.170,-26.001,-48.706
0.411,-0.632,1.032,15.808,-0.061,-9.155
0.295,-0.590,0.956,29.785,7.812,11.108
0.206,-0.539,0.937,28.198,6.531,26.917
0.123,-0.487,0.983,21.667,1.526,22.888
0.139,-0.479,1.002,7.324,0.854,6.836
0.205,-0.572,1.067,0.488,6.531,4.333
0.238,-0.618,1.099,-5.371,12.939,5.981
0.263,-0.628,1.110,-12.329,27.527,13.123
0.278,-0.598,1.107,-13.489,33.081,16.663
0.257,-0.580,1.109,-12.878,44.922,25.574
0.189,-0.574,1.158,-11.536,51.880,33.691
0.165,-0.573,1.206,-19.531,63.843,48.401
0.133,-0.578,1.275,-28.259,70.496,52.124
0.128,-0.602,1.278,-38.696,75.989,52.734
0.130,-0.626,1.260,-64.331,85.754,49.011
0.160,-0.654,1.215,-78.003,90.881,48.157
0.181,-0.653,1.207,-100.586,97.839,51.025
0.227,-0.612,1.172,-109.619,103.455,55.298
0.238,-0.593,1.135,-130.249,114.563,67.505
0.248,-0.582,1.088,-140.808,118.225,72.998
0.252,-0.574,1.072,-148.071,121.460,77.026
0.257,-0.555,1.045,-148.376,129.700,81.421
0.263,-0.490,0.964,-145.203,133.484,82.703
0.263,-0.450,0.926,-145.630,139.709,82.703
0.256,-0.380,0.895,-149.719,143.005,82.275
0.248,-0.353,0.901,-154.907,146.423,82.092
0.254,-0.332,0.896,-171.936,151.672,81.848
0.292,-0.288,0.808,-180.481,153.625,81.909
0.305,-0.248,0.729,-187.378,155.945,78.369
0.339,-0.134,0.557,-188.232,156.982,75.317
0.361,-0.077,0.490,-192.871,161.682,70.923
0.415,0.011,0.394,-199.219,164.734,69.519
0.436,0.035,0.344,-205.688,167.480,69.397
0.442,0.047,0.286,-195.496,172.546,70.740
0.450,0.095,0.171,-181.946,173.889,70.374
0.460,0.127,0.139,-164.612,172.791,71.106
0.498,0.173,0.086,-160.339,170.410,70.984
0.522,0.205,0.063,-158.508,167.786,70.007
0.550,0.240,0.045,-157.898,164.490,67.322
0.606,0.299,-0.019,-159.912,162.964,65.613
0.611,0.304,-0.089,-170.532,161.194,69.397
0.550,0.331,-0.262,-175.781,158.813,74.890
0.513,0.365,-0.352,-185.120,141.663,78.430
0.494,0.441,-0.498,-188.965,128.723,73.486
0.510,0.477,-0.561,-190.552,116.516,65.979
0.532,0.504,-0.624,-179.382,101.929,51.453
0.577,0.533,-0.743,-164.978,101.440,45.410
0.600,0.550,-0.796,-130.859,106.873,37.476
0.630,0.579,-0.844,-118.896,106.445,34.912
0.628,0.573,-0.826,-112.427,101.318,31.982
0.620,0.562,-0.788,-110.107,78.979,22.461
0.616,0.540,-0.687,-111.023,66.833,17.883
0.626,0.529,-0.653,-108.765,59.021,13.672
0.647,0.516,-0.600,-103.882,64.026,14.526
0.638,0.509,-0.569,-98.328,78.735,19.287
0.592,0.463,-0.516,-102.905,83.252,19.592
0.573,0.434,-0.505,-111.877,84.167,17.883
0.558,0.402,-0.501,-133.545,80.994,12.573
0.527,0.340,-0.500,-141.418,81.055,11.597
0.506,0.323,-0.495,-150.391,84.961,15.442
0.446,0.318,-0.484,-156.860,85.388,17.700
0.410,0.318,-0.487,-177.246,80.566,16.541
0.328,0.320,-0.513,-188.110,76.660,13.977
0.287,0.302,-0.553,-197.693,71.655,10.559
0.267,0.256,-0.612,-212.158,57.861,-7.629
0.328,0.104,-0.733,-213.257,51.880,-22.888
0.380,0.041,-0.769,-197.144,53.162,-43.152

0.501,-0.707,-1.552,-302.490,219.971,7.812
0.393,-0.717,-1.637,-291.992,200.928,7.629
0.198,-0.571,-1.749,-300.659,163.330,30.029
0.148,-0.550,-1.862,-320.190,97.290,47.607
-0.015,-0.583,-1.763,-295.715,62.866,43.640
-0.081,-0.559,-1.478,-255.188,22.705,36.072
-0.043,-0.483,-1.183,-219.849,-46.021,17.334
0.156,-0.433,-0.751,-224.060,-53.711,16.174
0.226,-0.517,-0.562,-213.013,-41.138,12.939
0.323,-0.586,-0.338,-197.144,-31.677,9.644
0.348,-0.623,-0.340,-157.288,-6.958,10.681
0.345,-0.761,-0.500,-135.010,2.502,10.559
0.335,-0.835,-0.607,-93.079,14.954,-0.793
0.353,-1.013,-0.810,-75.134,21.301,-12.756
0.392,-1.117,-0.955,-55.420,31.006,-28.625
0.409,-1.142,-0.995,-21.851,28.687,-29.175
0.234,-0.853,-0.693,-20.447,3.235,-3.845
